times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,yaw,yaw_dot
0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,1.57031,0.00000
0.00100,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00002,0.00043,0.00000,1.57031,0.00000
0.00200,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00003,0.00086,0.00000,1.57031,0.00000
0.00300,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00005,0.00129,0.00000,1.57031,0.00000
0.00400,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00006,0.00172,0.00000,1.57031,0.00000
0.00500,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00001,0.00000,-0.00008,0.00215,0.00000,1.57031,0.00000
0.00600,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00001,0.00000,-0.00010,0.00258,0.00000,1.57031,0.00000
0.00700,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00001,0.00000,-0.00011,0.00301,0.00000,1.57031,0.00000
0.00800,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00001,0.00000,-0.00013,0.00343,0.00000,1.57031,0.00000
0.00900,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00002,0.00000,-0.00014,0.00386,0.00000,1.57031,0.00000
0.01000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00002,0.00000,-0.00016,0.00429,0.00000,1.57031,0.00000
0.01100,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00003,0.00000,-0.00018,0.00471,0.00000,1.57031,0.00000
0.01200,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00003,0.00000,-0.00019,0.00514,0.00000,1.57031,0.00000
0.01300,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00004,0.00000,-0.00021,0.00557,0.00000,1.57031,0.00000
0.01400,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00004,0.00000,-0.00022,0.00599,0.00000,1.57031,-0.00000
0.01500,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00005,0.00000,-0.00024,0.00641,0.00000,1.57031,-0.00000
0.01600,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00005,0.00000,-0.00025,0.00684,0.00000,1.57031,-0.00000
0.01700,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00006,0.00000,-0.00027,0.00726,0.00000,1.57031,-0.00000
0.01800,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00007,0.00000,-0.00029,0.00768,0.00000,1.57031,-0.00000
