times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,yaw,yaw_dot
0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000
0.00100,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00011,0.00000,-0.00000,-0.00000
0.00200,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00022,0.00000,-0.00000,-0.00000
0.00300,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00033,0.00000,-0.00000,-0.00000
0.00400,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00044,0.00000,-0.00000,-0.00000
0.00500,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00055,0.00000,-0.00000,-0.00000
0.00600,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00066,0.00000,-0.00000,-0.00000
0.00700,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00076,0.00000,-0.00000,-0.00000
0.00800,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00087,0.00000,-0.00000,-0.00000
0.00900,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00098,0.00000,-0.00000,-0.00000
0.01000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00109,0.00000,-0.00000,-0.00000
0.01100,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00120,0.00000,-0.00000,-0.00000
0.01200,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00131,0.00000,-0.00000,-0.00000
0.01300,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00141,0.00000,-0.00000,-0.00000
0.01400,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00152,0.00000,-0.00000,-0.00000
0.01500,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00163,0.00000,-0.00000,-0.00000
0.01600,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00001,0.00000,0.00000,-0.00174,0.00000,-0.00000,-0.00000
0.01700,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00000,-0.00185,0.00000,-0.00000,-0.00000
0.01800,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00000,-0.00195,0.00000,-0.00000,-0.00000
0.01900,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00000,-0.00206,0.00000,-0.00000,-0.00000
0.02000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00000,-0.00217,0.00000,-0.00000,-0.00000
0.02100,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00000,-0.00227,0.00000,-0.00000,-0.00000
0.02200,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00003,0.00000,0.00000,-0.00238,0.00000,-0.00000,-0.00000
0.02300,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00003,0.00000,0.00000,-0.00249,0.00000,-0.00000,-0.00000
0.02400,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00003,0.00000,0.00000,-0.00259,0.00000,-0.00000,-0.00000
0.02500,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00003,0.00000,0.00000,-0.00270,0.00000,-0.00000,-0.00000
0.02600,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00004,0.00000,0.00000,-0.00281,0.00000,-0.00000,-0.00000
0.02700,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00004,0.00000,0.00000,-0.00291,0.00000,-0.00000,-0.00000
0.02800,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00004,0.00000,0.00000,-0.00302,0.00000,-0.00000,-0.00000
0.02900,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00005,0.00000,0.00000,-0.00312,0.00000,-0.00000,-0.00000
0.03000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00005,0.00000,0.00000,-0.00323,0.00000,-0.00000,-0.00000
0.03100,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00005,0.00000,0.00000,-0.00333,0.00000,-0.00000,-0.00000
0.03200,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00006,0.00000,0.00000,-0.00344,0.00000,-0.00000,0.00000
0.03300,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00006,0.00000,0.00000,-0.00354,0.00000,-0.00000,0.00000
0.03400,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00006,0.00000,0.00000,-0.00365,0.00000,-0.00000,0.00000
0.03500,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00007,0.00000,0.00000,-0.00375,0.00000,-0.00000,0.00000
0.03600,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00007,0.00000,0.00000,-0.00386,0.00000,-0.00000,0.00000
