times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_dot
0.000000000e+00,0.000000000e+00,1.600000000e+01,0.000000000e+00,6.534512719e+00,-0.000000000e+00,0.000000000e+00,-0.000000000e+00,-2.668741030e+00,0.000000000e+00,-1.089932638e+00,0.000000000e+00,0.000000000e+00,-0.000000000e+00,-4.084070450e-01
1.000000000e-03,6.534512538e-03,1.599999867e+01,0.000000000e+00,6.534512175e+00,-2.668740956e-03,0.000000000e+00,-1.089932608e-03,-2.668740807e+00,0.000000000e+00,-1.089932547e+00,4.451361555e-04,0.000000000e+00,-4.084070450e-04,-4.084070450e-01
2.000000000e-03,1.306902399e-02,1.599999466e+01,0.000000000e+00,6.534510540e+00,-5.337481467e-03,0.000000000e+00,-2.179865033e-03,-2.668740140e+00,0.000000000e+00,-1.089932274e+00,8.902722367e-04,0.000000000e+00,-8.168140899e-04,-4.084070450e-01
3.000000000e-03,1.960353325e-02,1.599998799e+01,0.000000000e+00,6.534507815e+00,-8.006221087e-03,0.000000000e+00,-3.269797096e-03,-2.668739027e+00,0.000000000e+00,-1.089931820e+00,1.335408169e-03,0.000000000e+00,-1.225221135e-03,-4.084070450e-01
4.000000000e-03,2.613803925e-02,1.599997865e+01,0.000000000e+00,6.534504000e+00,-1.067495937e-02,0.000000000e+00,-4.359728612e-03,-2.668737469e+00,0.000000000e+00,-1.089931183e+00,1.780543879e-03,0.000000000e+00,-1.633628180e-03,-4.084070450e-01
5.000000000e-03,3.267254089e-02,1.599996664e+01,0.000000000e+00,6.534499095e+00,-1.334369588e-02,0.000000000e+00,-5.449659402e-03,-2.668735466e+00,0.000000000e+00,-1.089930365e+00,2.225679292e-03,0.000000000e+00,-2.042035225e-03,-4.084070450e-01
6.000000000e-03,3.920703708e-02,1.599995196e+01,0.000000000e+00,6.534493101e+00,-1.601243016e-02,0.000000000e+00,-6.539589283e-03,-2.668733018e+00,0.000000000e+00,-1.089929366e+00,2.670814334e-03,0.000000000e+00,-2.450442270e-03,-4.084070450e-01
7.000000000e-03,4.574152673e-02,1.599993462e+01,0.000000000e+00,6.534486016e+00,-1.868116176e-02,0.000000000e+00,-7.629518072e-03,-2.668730124e+00,0.000000000e+00,-1.089928184e+00,3.115948930e-03,0.000000000e+00,-2.858849315e-03,-4.084070450e-01
8.000000000e-03,5.227600875e-02,1.599991460e+01,0.000000000e+00,6.534477842e+00,-2.134989026e-02,0.000000000e+00,-8.719445590e-03,-2.668726786e+00,0.000000000e+00,-1.089926820e+00,3.561083007e-03,0.000000000e+00,-3.267256360e-03,-4.084070450e-01
9.000000000e-03,5.881048205e-02,1.599989192e+01,0.000000000e+00,6.534468577e+00,-2.401861519e-02,0.000000000e+00,-9.809371653e-03,-2.668723002e+00,0.000000000e+00,-1.089925275e+00,4.006216490e-03,0.000000000e+00,-3.675663405e-03,-4.084070450e-01
1.000000000e-02,6.534494554e-02,1.599986656e+01,0.000000000e+00,6.534458223e+00,-2.668733611e-02,0.000000000e+00,-1.089929608e-02,-2.668718773e+00,0.000000000e+00,-1.089923548e+00,4.451349304e-03,0.000000000e+00,-4.084070450e-03,-4.084070450e-01
1.100000000e-02,7.187939813e-02,1.599983854e+01,0.000000000e+00,6.534446779e+00,-2.935605258e-02,0.000000000e+00,-1.198921869e-02,-2.668714099e+00,0.000000000e+00,-1.089921639e+00,4.896481376e-03,0.000000000e+00,-4.492477495e-03,-4.084070450e-01
1.200000000e-02,7.841383873e-02,1.599980785e+01,0.000000000e+00,6.534434244e+00,-3.202476416e-02,0.000000000e+00,-1.307913930e-02,-2.668708980e+00,0.000000000e+00,-1.089919549e+00,5.341612631e-03,0.000000000e+00,-4.900884540e-03,-4.084070450e-01
1.300000000e-02,8.494826626e-02,1.599977449e+01,0.000000000e+00,6.534420620e+00,-3.469347040e-02,0.000000000e+00,-1.416905772e-02,-2.668703416e+00,0.000000000e+00,-1.089917276e+00,5.786742995e-03,0.000000000e+00,-5.309291585e-03,-4.084070450e-01
1.400000000e-02,9.148267961e-02,1.599973846e+01,0.000000000e+00,6.534405906e+00,-3.736217085e-02,0.000000000e+00,-1.525897379e-02,-2.668697407e+00,0.000000000e+00,-1.089914822e+00,6.231872394e-03,0.000000000e+00,-5.717698630e-03,-4.084070450e-01
1.500000000e-02,9.801707771e-02,1.599969977e+01,0.000000000e+00,6.534390102e+00,-4.003086506e-02,0.000000000e+00,-1.634888731e-02,-2.668690952e+00,0.000000000e+00,-1.089912186e+00,6.677000754e-03,0.000000000e+00,-6.126105675e-03,-4.084070450e-01
1.600000000e-02,1.045514595e-01,1.599965840e+01,0.000000000e+00,6.534373209e+00,-4.269955260e-02,0.000000000e+00,-1.743879810e-02,-2.668684053e+00,0.000000000e+00,-1.089909368e+00,7.122128000e-03,0.000000000e+00,-6.534512719e-03,-4.084070450e-01
1.700000000e-02,1.110858238e-01,1.599961437e+01,0.000000000e+00,6.534355225e+00,-4.536823302e-02,0.000000000e+00,-1.852870598e-02,-2.668676708e+00,0.000000000e+00,-1.089906368e+00,7.567254058e-03,0.000000000e+00,-6.942919764e-03,-4.084070450e-01
